1, 1 
1, 10 
1, 20 
1, 50 
1, 100 
1, 200 
1, 500 
1, 1000 
1, 2000 
1, 5000 
1, 10000 
1, 20000 
1, 50000 
1, 100000 
1, 200000 
1, 500000 
1, 1000000 
1, 2000000 
1, 5000000 
1, 10000000 
2, 1 
2, 10 
2, 20 
2, 50 
2, 100 
2, 200 
2, 500 
2, 1000 
2, 2000 
2, 5000 
2, 10000 
2, 20000 
2, 50000 
2, 100000 
2, 200000 
2, 500000 
2, 1000000 
2, 2000000 
2, 5000000 
2, 10000000 
3, 1 
3, 10 
3, 20 
3, 50 
3, 100 
3, 200 
3, 500 
3, 1000 
3, 2000 
3, 5000 
3, 10000 
3, 20000 
3, 50000 
3, 100000 
3, 200000 
3, 500000 
3, 1000000 
3, 2000000 
3, 5000000 
3, 10000000 
4, 1 
4, 10 
4, 20 
4, 50 
4, 100 
4, 200 
4, 500 
4, 1000 
4, 2000 
4, 5000 
4, 10000 
4, 20000 
4, 50000 
4, 100000 
4, 200000 
4, 500000 
4, 1000000 
4, 2000000 
4, 5000000 
4, 10000000 
5, 1 
5, 10 
5, 20 
5, 50 
5, 100 
5, 200 
5, 500 
5, 1000 
5, 2000 
5, 5000 
5, 10000 
5, 20000 
5, 50000 
5, 100000 
5, 200000 
5, 500000 
5, 1000000 
5, 2000000 
5, 5000000 
5, 10000000 
